date,industry,name,opportunities,salary,qualification,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Report Developer,59,$125K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Reporting Administrator,88,$75K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Reporting Analyst,"1,938",$95K,"Complete a bachelor degree in computer science, IT, data science, finance or economics. This usually takes three years. Seek internship opportunities while studying to gain workplace experience.",,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Reporting Manager,"2,668",$145K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Reporting Specialist,56,$100K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Resource Manager,420,$125K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,SQL Developer,"1,937",$115K,Complete a qualification such a Diploma of Software Development (ICT50715) or a Bachelor degree majoring in Software Development.,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Safety Engineer,24,$130K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Salesforce Administrator,210,$100K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Salesforce Developer,893,$135K,"Complete a degree in computer science or information technology. Alternatively, a bootcamp or intensive short course may provide you with relevant skills.",,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Scrum Master,680,$140K,"Complete a relevant qualification such as a bachelor degree in business, IT or a related field.",,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Search Engine Optimisation Specialist,55,$85K,"Complete a bachelor degree in IT, marketing, commerce or a related field. This usually takes three years of full-time study.",,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Security Administrator,46,$115K,no data,,,,,,
2/04/2023 22:54,Trades & Services careers,Security Adviser,33,$95K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Security Analyst,660,N/A,"Complete a bachelor degree in computer science, information technology, cybersecurity or a related field. ",,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Security Architect,677,$150K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Security Consultant,575,$155K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Security Engineer,647,$130K,no data,,,,,,
