date,industry,name,opportunities,salary,qualification,
8/04/2023 16:41,Information & Communication Technology careers,Python Developer,"1,284",$140K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Quality Analyst,"1,430",$95K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Quality Assurance Engineer,356,$100K,no data,
8/04/2023 16:41,"Manufacturing, Transport & Logistics careers",Quality Engineer,868,$115K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Report Developer,72,$125K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Reporting Administrator,88,$75K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Reporting Analyst,"1,891",$100K,"Complete a bachelor degree in computer science, IT, data science, finance or economics. This usually takes three years. Seek internship opportunities while studying to gain workplace experience.",
8/04/2023 16:41,Information & Communication Technology careers,Reporting Manager,"2,657",$140K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Reporting Specialist,49,$105K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Resource Manager,412,$105K,no data,
8/04/2023 16:41,Information & Communication Technology careers,SQL Developer,"1,915",$115K,Complete a qualification such a Diploma of Software Development (ICT50715) or a Bachelor degree majoring in Software Development.,
8/04/2023 16:41,Information & Communication Technology careers,Safety Engineer,22,$120K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Salesforce Administrator,209,$108K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Salesforce Developer,917,$135K,"Complete a degree in computer science or information technology. Alternatively, a bootcamp or intensive short course may provide you with relevant skills.",
8/04/2023 16:41,Information & Communication Technology careers,Scrum Master,665,$145K,"Complete a relevant qualification such as a bachelor degree in business, IT or a related field.",
8/04/2023 16:41,Information & Communication Technology careers,Search Engine Optimisation Specialist,68,$85K,"Complete a bachelor degree in IT, marketing, commerce or a related field. This usually takes three years of full-time study.",
8/04/2023 16:41,Information & Communication Technology careers,Security Administrator,43,$105K,no data,
8/04/2023 16:41,Trades & Services careers,Security Adviser,37,$90K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Security Analyst,647,N/A,"Complete a bachelor degree in computer science, information technology, cybersecurity or a related field. ",
8/04/2023 16:41,Information & Communication Technology careers,Security Architect,691,$165K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Security Consultant,567,$160K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Security Engineer,663,$125K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Security Specialist,312,$125K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Server Engineer,654,$110K,no data,
8/04/2023 16:42,Information & Communication Technology careers,Service Delivery Analyst,401,$85K,no data,
8/04/2023 16:42,Call Centre & Customer Service careers,Service Delivery Officer,329,$60K,no data,
8/04/2023 16:42,Information & Communication Technology careers,Service Desk Analyst,"2,515",$73K,"Complete a bachelor degree in computer science or information technology. This usually takes three years of full-time study. Alternatively, you could complete a VET qualification, such as a Certificate IV in Information Technology (Systems Administration Support). Courses accredited by the Australia Computer Society are internationally recognised and may offer future opportunities for certification and upskilling.",
8/04/2023 16:42,Information & Communication Technology careers,Service Desk Consultant,132,$70K,no data,
8/04/2023 16:42,Information & Communication Technology careers,Service Desk Manager,982,$125K,no data,
8/04/2023 16:42,Information & Communication Technology careers,Service Desk Officer,"1,476",$73K,"Complete a qualification in IT. This could be a Certificate IV in Information Technology (ICT40120), which usually takes one year. Alternatively, complete a degree in information technology, computer science or a related field, which usually takes three years and may provide broader career options. ",
8/04/2023 16:42,Information & Communication Technology careers,Service Desk Technician,"1,706",$70K,no data,
8/04/2023 16:42,Information & Communication Technology careers,Service Director,377,N/A,no data,
8/04/2023 16:42,Hospitality & Tourism careers,Service Operator,59,$75K,no data,
8/04/2023 16:42,Information & Communication Technology careers,Sitecore Developer,43,$130K,Complete a Bachelor of Computer Science or Bachelor of Information Technology. This usually takes three years of full-time study.  ,
8/04/2023 16:42,Information & Communication Technology careers,Software Architect,386,$160K,"Complete a bachelor degree in computer science, software engineering or a related field. This usually takes three to four years of full-time study.",
8/04/2023 16:42,Information & Communication Technology careers,Software Developer,"3,926",$100K,"Complete a relevant bachelor degree, such as a Bachelor of Computer Science, Bachelor of Information Technology or Bachelor of Engineering (Software) (Honours). Alternatively, a VET qualification such as a Diploma of Information Technology (ICT50220) can introduce you to some of the skills required for the role.",
